Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Final Standing
26,Buffalo Sabres,26.4,82,33,37,12,78,0.476,199,231,2,6,-0.41,0.03,5.24,139,174,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3,1
27,Arizona Coyotes,27.3,82,30,42,10,70,0.427,191,258,6,2,-0.76,0.01,5.48,145,192,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3,1
28,New Jersey Devils,28.1,82,28,40,14,70,0.427,180,241,3,3,-0.67,0.08,5.13,130,176,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3,1
29,Vancouver Canucks,28.8,82,30,43,9,69,0.421,178,241,4,2,-0.73,0.01,5.11,144,183,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3,1
30,Colorado Avalanche,27.6,82,22,56,4,48,0.293,165,276,1,2,-1.32,0.05,5.38,130,210,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3,1
16,Florida Panthers,27.8,82,44,30,8,96,0.585,245,243,3,3,-0.01,-0.04,5.95,188,193,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,7,1
18,St. Louis Blues,28.5,82,44,32,6,94,0.573,223,222,3,0,0.1,0.05,5.43,180,166,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,4,1
19,Dallas Stars,28.5,82,42,32,8,92,0.561,231,222,4,3,0.17,0.04,5.52,177,158,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9,2447,0.909,6,1
20,Calgary Flames,28.4,82,37,35,10,84,0.512,216,243,2,5,-0.33,0.03,5.6,166,187,43,269,15.99,49,269,81.78,7,7,11.1,11.2,2759,7.8,2554,0.905,3,1
21,Carolina Hurricanes,27,82,36,35,11,83,0.506,225,253,3,3,-0.35,-0.01,5.83,178,204,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2,1
22,New York Islanders,28.4,82,35,37,10,80,0.488,261,293,3,3,-0.4,-0.01,6.76,198,219,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2,1
23,Edmonton Oilers,26.8,82,36,40,6,78,0.476,229,262,5,1,-0.32,0.03,5.99,187,200,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1,1
24,New York Rangers,28.7,82,34,39,9,77,0.47,228,263,3,5,-0.46,-0.01,5.99,172,212,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,3,1
25,Chicago Blackhawks,28,82,33,39,10,76,0.463,228,254,1,2,-0.26,0.07,5.88,180,198,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2,1
26,Vancouver Canucks,28.2,82,31,40,11,73,0.445,218,259,0,5,-0.51,0.05,5.82,158,189,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,4,1
27,Detroit Red Wings,30.2,82,30,39,13,73,0.445,212,254,5,1,-0.48,-0.01,5.68,162,191,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4,1
28,Montreal Canadiens,27.8,82,29,40,13,71,0.433,207,258,2,6,-0.68,0,5.67,148,184,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4,1
29,Arizona Coyotes,26.5,82,29,41,12,70,0.427,206,251,2,5,-0.53,0.05,5.57,163,195,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5,1
30,Ottawa Senators,29.3,82,28,43,11,67,0.409,219,284,2,7,-0.85,0,6.13,174,222,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2,1
31,Buffalo Sabres,27.1,82,25,45,12,62,0.378,198,278,1,2,-0.98,0.01,5.8,140,216,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3,1
